product_id,product_name,url
109883,Women's Pendant Antea,https://www.glamira.ie/glamira-pendant-antea.html?stone2=diamond-Brillant&alloy=red-585&diamond=pink-tourmaline&keyword=&matchtype=&gclid=CjwKCAjwztL2BRATEiwAvnALcvlIFGo3t5T0vTW4ScSdM6TPDmm8mQEZwOCPK_B7-mq72vPXdNezSxoCYhYQAvD_BwE
103567,GLAMIRA Ring Eminta,https://www.glamira.ie/glamira-ring-eminta.html?stone3=diamond-Swarovsky&fbclid=IwAR2F8ZsM0q1RXinTtpq9ZWAR19xo_qIrnv19tlh1Mw3VvJIpRBf9Owvemzg
85123,Women's Wedding Ring Bright Charm,https://www.glamira.ie/womens-ring-bright-charm-skuc4908.html?alloy=white_yellow-750&keyword=&matchtype=&gclid=CjwKCAjw8df2BRA3EiwAvfZWaHnpoTuzmpMDE1jBZ0dDkHFS01ynRcrCf9xW9-a2K-MwuOkAynbDiBoCx1QQAvD_BwE
91087,Engagement Ring Clariss 0.25 crt,https://www.glamira.ie/glamira-ring-clariss-0.25-crt.html?fbclid=IwAR0v6wslqZUF0QVQiBSGK9FnIxRaMJxoMIn5Q1BUgFoZE168aV9nYCezw7k
106336,Women's Wedding Ring Gorgeous Image 8 mm,https://www.glamira.ie/womens-ring-gorgeous-image-8-mm.html?keyword&matchtype&fbclid=IwAR3Av080uK3f8bIs5li3T7EXYQVf7jSOIFdvL6IsuGBg4Q1PRFfd2g-mXrE&alloy=white-585
100736,Kid's Pendant Zaika,https://www.glamira.ie/glamira-kids-zaika.html?fbclid=IwAR0BfZm2xAkHcn0u6QUxa3Bc8mr7-yW4j5IHjm04Cdm9Nyd_-s6sVMyVdaE
102141,Men's Ring Silver Shine,https://www.glamira.ie/men-s-ring-silver-shine.html?keyword=&matchtype=&gclid=EAIaIQobChMIivO_u6jh6QIVAbTtCh1m2wygEAQYBCABEgIprfD_BwE
100594,Kid's Earring Arroz,https://www.glamira.ie/glamira-kids-arroz.html?alloy=red-585&keyword=&matchtype=&gclid=CjwKCAjw8df2BRA3EiwAvfZWaOwAqR7A2Iey4lwIbKhKdzv3_2aHHn6iJaMPEeE2qMCcYpLiRdlpxBoCMIkQAvD_BwE
96774,GLAMIRA Necklace Gemelo,https://www.glamira.ie/glamira-pendant-gemelo.html?keyword&matchtype&fbclid=IwAR0s1NVjWKQ5HDcVKpkkkmicB31khnmty0UC-3aO85aB0yP5NX8ydX7rhA0
107018,Nhẫn cưới nam Glittering Elegance 6 mm,https://www.glamira.vn/nhan-nam-glittering-elegance-6-mm.html?alloy=red-585&gclid=EAIaIQobChMI5Lz37J_j6QIVbNOWCh3mxwp7EAQYCyABEgKy3fD_BwE
95451,Wedding Ring Elegant Blaze 6mm,https://www.glamira.ie/elegant-blaze-6mm.html?stone=diamond-Brillant&fbclid=IwAR1iZPSV9uGxdWP5pz4GXvEiNUmYhHluD3lwJh5oMPkMa9VnAK7OoEXLMOc&alloy=red_white-750
105095,"GLAMIRA - Your Online Shop for Gold, Diamond and Wedding Jewellery",https://www.glamira.com.ua/noble-silk-8-mm.html?alloy=white-platin&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting
99660,Nhẫn cưới nữ Mystic Darling 8 mm,https://www.glamira.vn/nhan-nu-mystic-darling-8-mm.html?alloy=red-585&gclid=EAIaIQobChMItqrC_eji6QIV2N28Ch3XNQqJEAEYASABEgJFifD_BwE
